Name,Calories,Protein,Carbs,Fats,CategoryIds
Tojásrántotta pirítóssal,350,20,30,15,1
Zabkása gyümölcsökkel,300,10,50,5,1
Görög joghurt mézzel és dióval,250,15,20,10,1
Smoothie banánnal és spenóttal,220,8,35,4,1;3
Csirke saláta,400,35,10,15,2
Marhahúsos ragu teljes kiőrlésű tésztával,550,30,60,20,2
Lazacos quinoa saláta,480,32,40,18,2
Vegetáriánus csicseriborsó curry rizzsel,500,18,70,15,2
Alma és mogyoróvaj,200,4,25,10,3
Szeletelt uborka hummusszal,150,5,15,7,3
Fehérje szelet,250,20,15,10,3
Banános turmix,300,12,40,8,3;1
Grillezett csirke brokkolival,450,40,15,20,4
Sült hal citromos vajjal,420,35,5,25,4
Marhahúsos steak zöldsalátával,600,45,10,30,4
Vegán tofu stir-fry barna rizzsel,480,25,55,15,4;2
Avokádós pirítós tojással,370,18,30,20,1
Pulyka szendvics teljes kiőrlésű kenyérrel,400,30,40,10,2
Zöldséges smoothie,180,6,30,3,3
Lasagna,650,35,70,25,4
Müzli tejjel és bogyós gyümölcsökkel,320,12,50,8,1
Pad Thai csirke vagy tofu-val,550,28,65,18,2
Sajttal és teljes kiőrlésű kekszel,220,10,20,12,3
Töltött paprika darált hússal,500,32,45,18,4
Banános palacsinta,400,15,60,10,1
Rizses csirke,530,33,65,16,2
Diós energiaszelet,260,8,25,14,3
Spagetti bolognai szósszal,580,28,75,20,4
Sushi válogatás,480,25,60,12,2
Bolognai lasagne,670,40,80,28,4
Kenyér sajttal és paradicsommal,340,16,40,12,1
Gyümölcs saláta,210,4,45,2,3
